qi,query,rank_a,rank_b,rank_f
1978,Streetwear Satin Smooth Mauve Mania Lipcolor 19,28,10,17
1979,Nike Women White Air Total Sports Shoes,7,101,21
1980,Ivory Tag Women Dazzling Agates Turquoise Blue and Yellow Necklace,3,3,3
1981,Mark Taylor Men Blue & Red Striped White Shirt,101,101,101
1982,Lakme Cheek Chromatic Baked Blusher,3,4,3
1983,HM Women Metallic Flats,47,83,63
1984,Lee Men Printed Black Tshirts,101,1,5
1985,Chromozome Men White Pack of 2 Briefs,15,30,24
1986,Fabindia Men Hand Block Printed Black Shirt,2,2,2
1987,Puma Unisex Deck Red Backpacks,5,7,5
1988,ADIDAS Men Sports Black Sports Shoes,30,6,9
1989,Doodle Boy Grand Prix Navy Blue Shirt,2,1,1
1990,Black Coffee Men Stripes Grey Slim Fit Shirt,101,101,101
1991,Police Women Gold Wings Deo,3,1,2
1992,Arrow Sport Men Stripes Yellow Polo Tshirts,51,17,31
1993,Mark Taylor Men Yellow Printed T-shirt,21,32,24
1994,Spykar Men Solid Black Shirts,1,6,4
1995,Mark Taylor Men Light Blue Thin White & Brown Striped Shirts,101,41,63
1996,Cat Men Classic Grey Sunglasses,71,101,66
1997,Flying Machine Women RN HS Yellow Tshirts,101,101,101
1998,Wrangler Women Lurex Blue Top,26,101,44
1999,French Connection Women Black Buffy Clutch,25,23,18
